date, pm25, pm10, o3, no2, so2, co
2020/12/2, 48, 17, 24, 27, 3, 5
2020/12/3, 49, 17, 29, 26, 2, 5
2020/12/4, 50, 13, 29, 25, 2, 3
2020/12/5, 42, 15, 30, 25, 2, 4
2020/12/6, 47, 17, 31, 24, 2, 4
2020/12/7, 52, 19, 27, 32, 3, 5
2020/12/8, 57, 25, 30, 32, 2, 5
2020/12/9, 63, 20, 29, 29, 3, 5
2020/12/10, 51, 21, 25, 32, 2, 6
2020/12/11, 69, 22, 30, 34, 4, 5
2020/12/12, 66, 24, 33, 26, 4, 4
2020/12/13, 64, 20, 30, 20, 3, 4
2020/12/14, 61, 16, 26, 25, 2, 3
2020/12/15, 39, 11, 24, 14, 2, 2
2020/12/16, 21, 11, 25, 19, 1, 3
2020/12/17, 20, 11, 24, 21, 2, 3
2020/12/18, 29, 21, 27, 28, 2, 4
2020/12/19, 58, 16, 27, 20, 1, 2
2020/12/20, 40, 11, 28, 16, 1, 2
2020/12/21, 27, 16, 27, 33, 2, 4
2020/12/22, 51, 25, 23, 35, 1, 5
2020/12/23, 67, 34, 23, 42, 1, 7
2020/12/24, 78, 37, 8, 39, 2, 7
2020/12/25, 82, 23, 30, 27, 2, 4
2020/12/26, 47, 16, 24, 23, 2, 3
2020/12/27, 39, 22, 28, 26, 3, 4
2020/12/28, 59, 21, 27, 26, 3, 4
2020/12/29, 57, 21, 25, 27, 2, 4
2020/12/30, 63, 14, 30, 11, 2, 3
2020/12/31, 41, 11, 28, 14, 1, 2
2021/1/1, 25, 12, 28, 16, 1, 2
2021/1/2, 38, 16, 29, 19, 2, 3
2021/1/3, 47, 17, 29, 19, 2, 3
2021/1/4, 49, 18, 28, 24, 1, 4
2020/7/2, 60, 28, 38, 24, 1, 2
2020/7/3, 59, 20, 38, 21, 1, 2
2020/7/4, 55, 21, 28, 18, 1, 2
2020/7/5, 40, 199, 46, 16, 2, 2
2020/7/6, 58, 21, 12, 13, 1, 2
2020/7/7, 38, 26, 21, 19, 1, 2
2020/7/8, 48, 16, 58, 25, 2, 2
2020/7/9, 49, 18, 31, 24, 2, 3
2020/7/10, 41, 18, 12, 17, 1, 3
2020/7/11, 43, 28, 17, 14, 1, 2
2020/7/12, 53, 18, 31, 16, 1, 2
2020/7/13, 45, 18, 19, 18, 1, 3
2020/7/14, 43, 20, 28, 18, 1, 3
2020/7/15, 45, 18, 21, 23, 1, 3
2020/7/16, 43, 13, 29, 17, 1, 3
2020/7/17, 42, 16, 31, 16, 1, 2
2020/7/18, 44, 18, 48, 20, 1, 3
2020/7/19, 47, 27, 58, 17, 2, 3
2020/7/20, 69, 44, 75, 28, 1, 3
2020/7/21, 91, 76, 63, 25, 2, 3
2020/7/22, 85, 19, 32, 18, 1, 2
2020/7/23, 49, 16, 28, 15, 1, 2
2020/7/24, 48, 21, 32, 14, 1, 3
2020/7/25, 54, 16, 19, 14, 1, 3
2020/7/26, 40, 16, 18, 12, 1, 3
2020/7/27, 44, 15, 24, 15, 1, 3
2020/7/28, 41, 23, 13, 18, 1, 3
2020/7/29, 51, 28, 24, 22, 1, 3
2020/7/30, 59, 24, 27, 22, 1, 3
2020/7/31, 46, 28, 42, 22, 2, 3
2020/8/1, 61, 24, 39, 16, 2, 3
2020/8/2, 63, 31, 59, 13, 1, 3
2020/8/3, 69, 38, 52, 25, 3, 2
2020/8/4, 77, 47, 69, 24, 3, 3
2020/8/5, 93, 56, 72, 29, 3, 2
2020/8/6, 121, 44, 52, 26, 2, 3
2020/8/7, 109, 46, 34, 20, 4, 2
2020/8/8, 92, 57, 27, 15, 4, 2
2020/8/9, 118, 34, 25, 12, 2, 1
2020/8/10, 66, 20, 26, 11, 1, 1
2020/8/11, 42, 25, 27, 16, 2, 1
2020/8/12, 47, 26, 40, 20, 1, 2
2020/8/13, 54, 28, 29, 15, 1, 2
2020/8/14, 56, 31, 59, 18, 1, 2
2020/8/15, 65, 37, 50, 11, 2, 2
2020/8/16, 69, 32, 37, 10, 3, 2
2020/8/17, 67, 34, 34, 14, 3, 2
2020/8/18, 73, 28, 34, 13, 3, 2
2020/8/19, 65, 30, 103, 27, 2, 3
2020/8/20, 69, 42, 103, 23, 5, 3
2020/8/21, 90, 48, 73, 22, 5, 3
2020/8/22, 92, 36, 45, 14, 3, 2
2020/8/23, 80, 24, 34, 10, 2, 2
2020/8/24, 53, 33, 75, 24, 3, 3
2020/8/25, 78, 41, 60, 24, 3, 3
2020/8/26, 80, 28, 49, 24, 2, 3
2020/8/27, 64, 21, 21, 13, 1, 2
